Date,Open,High,Low,Close,Volume
17-May-13,3.93,4.10,3.90,4.07,33952609
16-May-13,3.90,3.94,3.66,3.83,80221457
15-May-13,4.29,4.42,4.26,4.38,39347237
14-May-13,4.31,4.32,4.18,4.26,53292731
13-May-13,3.95,4.22,3.94,4.17,54889370
10-May-13,3.79,3.97,3.79,3.95,30586522
9-May-13,3.91,3.99,3.83,3.86,47232275
8-May-13,3.54,3.85,3.47,3.83,57017182
7-May-13,3.65,3.67,3.44,3.54,35339428
6-May-13,3.72,3.75,3.53,3.61,51378103
3-May-13,3.47,3.80,3.47,3.60,87328681
2-May-13,3.16,3.48,3.14,3.41,74195406
1-May-13,2.81,3.28,2.79,3.22,88018607
30-Apr-13,2.68,2.82,2.67,2.82,32647381
29-Apr-13,2.66,2.70,2.65,2.68,11219918
26-Apr-13,2.66,2.68,2.60,2.64,17317211
25-Apr-13,2.63,2.72,2.63,2.68,20970910
24-Apr-13,2.54,2.62,2.52,2.61,16547782
23-Apr-13,2.50,2.55,2.47,2.53,14552954
22-Apr-13,2.47,2.51,2.43,2.46,14131636
19-Apr-13,2.44,2.50,2.39,2.47,25047140
18-Apr-13,2.40,2.56,2.29,2.51,27340441
17-Apr-13,2.41,2.47,2.40,2.40,14829185
16-Apr-13,2.43,2.44,2.40,2.44,10961914
15-Apr-13,2.45,2.46,2.40,2.40,11525963
12-Apr-13,2.50,2.50,2.43,2.48,10722680
11-Apr-13,2.55,2.57,2.46,2.52,12946665
10-Apr-13,2.65,2.66,2.57,2.61,20691221
9-Apr-13,2.58,2.63,2.44,2.63,33886532
8-Apr-13,2.31,2.61,2.26,2.59,44767724
5-Apr-13,2.30,2.31,2.28,2.29,13726635
4-Apr-13,2.34,2.37,2.32,2.33,11177694
3-Apr-13,2.40,2.41,2.32,2.32,14485712
2-Apr-13,2.44,2.45,2.38,2.39,11427392
1-Apr-13,2.54,2.57,2.42,2.44,14465380
28-Mar-13,2.55,2.57,2.52,2.55,4877999
27-Mar-13,2.50,2.62,2.50,2.55,5903148
26-Mar-13,2.52,2.54,2.50,2.54,6330245
25-Mar-13,2.57,2.60,2.49,2.51,11266049
22-Mar-13,2.66,2.67,2.53,2.54,18524091
21-Mar-13,2.73,2.75,2.63,2.64,17024519
20-Mar-13,2.70,2.75,2.69,2.75,13508463
19-Mar-13,2.66,2.70,2.62,2.67,19317178
18-Mar-13,2.59,2.68,2.55,2.65,12998002
15-Mar-13,2.60,2.62,2.58,2.60,15805090
14-Mar-13,2.62,2.63,2.58,2.63,9228130
13-Mar-13,2.62,2.63,2.57,2.60,7489664
12-Mar-13,2.59,2.63,2.57,2.61,9511082
11-Mar-13,2.57,2.60,2.51,2.59,13395463
8-Mar-13,2.57,2.64,2.52,2.56,11332708
7-Mar-13,2.44,2.57,2.43,2.55,21089751
6-Mar-13,2.45,2.46,2.40,2.43,10841975
5-Mar-13,2.45,2.47,2.40,2.43,13958813
4-Mar-13,2.44,2.45,2.36,2.40,14576980
1-Mar-13,2.50,2.51,2.42,2.42,19690305
28-Feb-13,2.56,2.57,2.48,2.49,11380341
27-Feb-13,2.48,2.55,2.45,2.53,10656179
26-Feb-13,2.54,2.54,2.44,2.46,17584714
25-Feb-13,2.64,2.65,2.53,2.53,16946509
22-Feb-13,2.64,2.67,2.55,2.61,20254111
21-Feb-13,2.69,2.69,2.52,2.60,30784543
20-Feb-13,2.84,2.84,2.68,2.70,21386843
19-Feb-13,2.75,2.82,2.73,2.82,19819125
15-Feb-13,2.77,2.79,2.70,2.71,10718782
14-Feb-13,2.74,2.75,2.69,2.75,13295961
13-Feb-13,2.81,2.83,2.73,2.75,11496612
12-Feb-13,2.70,2.78,2.69,2.77,13678742
11-Feb-13,2.59,2.70,2.59,2.67,22416541
8-Feb-13,2.58,2.60,2.58,2.59,5977958
7-Feb-13,2.61,2.63,2.56,2.57,6780147
6-Feb-13,2.59,2.64,2.56,2.60,8831173
5-Feb-13,2.55,2.60,2.49,2.60,12440324
