Date,Open,High,Low,Close,Volume
17-May-13,56.49,57.10,56.47,56.71,11559148
16-May-13,56.80,56.90,55.72,55.80,8521430
15-May-13,56.27,56.68,56.06,56.65,8568093
14-May-13,55.15,56.41,55.14,56.27,9227399
13-May-13,55.79,55.80,55.09,55.33,7220655
10-May-13,55.39,55.82,55.21,55.65,7125447
9-May-13,54.99,55.99,54.79,55.17,9298074
8-May-13,54.01,54.98,53.77,54.96,7028336
7-May-13,53.93,54.13,53.10,53.94,9679914
6-May-13,54.06,54.82,53.76,54.09,6355849
3-May-13,54.00,54.51,53.60,54.21,7207364
2-May-13,52.42,53.70,52.03,53.55,9885069
1-May-13,52.38,52.87,51.92,52.40,7917150
30-Apr-13,52.67,53.14,52.13,52.39,9056833
29-Apr-13,52.61,53.00,52.21,52.84,7171243
26-Apr-13,52.40,52.86,51.89,52.54,10612866
25-Apr-13,53.31,53.36,52.07,52.36,11481105
24-Apr-13,53.00,53.33,52.64,52.97,10229182
23-Apr-13,51.96,52.77,51.85,52.49,12681589
22-Apr-13,52.14,52.32,51.16,51.63,13764193
19-Apr-13,52.77,53.24,51.90,52.39,15600700
18-Apr-13,53.85,54.24,52.73,52.82,25357841
17-Apr-13,56.49,56.83,55.65,56.10,14710510
16-Apr-13,56.19,57.15,56.00,57.01,8630262
15-Apr-13,56.98,57.48,55.68,55.84,9199347
12-Apr-13,57.90,57.90,56.81,57.31,6315678
11-Apr-13,57.42,58.04,57.21,57.78,7291266
10-Apr-13,56.33,57.58,56.28,57.30,8002393
9-Apr-13,55.44,56.45,55.32,56.07,6265785
8-Apr-13,55.42,56.84,55.29,55.87,10187510
5-Apr-13,54.73,55.59,54.50,55.52,7236248
4-Apr-13,55.34,55.86,55.10,55.79,5906845
3-Apr-13,55.81,56.00,55.32,55.50,11499168
2-Apr-13,56.26,56.79,55.94,56.16,15229767
1-Apr-13,55.64,56.75,55.44,55.71,20620843
28-Mar-13,52.04,54.50,51.45,54.22,24227465
27-Mar-13,51.66,52.58,50.95,52.07,12421041
26-Mar-13,51.67,52.14,51.10,52.09,10759691
25-Mar-13,53.40,53.40,51.13,51.31,18179111
22-Mar-13,53.01,53.46,52.96,53.27,8507846
21-Mar-13,52.20,53.05,51.94,52.92,14056441
20-Mar-13,51.67,52.61,51.05,52.42,14632701
19-Mar-13,51.00,53.63,50.46,51.10,14624291
18-Mar-13,49.86,50.55,49.55,50.11,14339253
15-Mar-13,51.72,52.08,50.33,50.41,21769746
14-Mar-13,51.79,52.90,51.60,51.80,17144757
13-Mar-13,52.96,53.00,50.62,50.98,19806717
12-Mar-13,51.70,53.10,50.90,52.96,16125440
11-Mar-13,53.10,53.34,52.67,52.76,8965144
8-Mar-13,53.18,53.46,52.26,53.13,13077964
7-Mar-13,53.69,53.87,52.75,52.98,9455645
6-Mar-13,54.98,55.00,53.44,53.57,14562907
5-Mar-13,55.55,56.00,54.76,55.26,9812633
4-Mar-13,54.34,55.49,54.25,55.48,9750849
1-Mar-13,54.59,55.10,54.02,54.90,6422963
28-Feb-13,54.50,55.18,54.26,54.71,9575949
27-Feb-13,54.02,54.56,53.67,54.15,7662227
26-Feb-13,53.77,53.97,53.12,53.82,8463171
25-Feb-13,55.41,55.65,53.60,53.61,7337005
22-Feb-13,54.96,55.13,54.57,55.02,5087209
21-Feb-13,55.34,55.58,53.90,54.62,10736336
20-Feb-13,56.90,57.10,55.48,55.53,7396427
19-Feb-13,56.86,56.98,56.36,56.68,5702744
15-Feb-13,56.81,57.15,56.41,56.70,9130268
14-Feb-13,56.79,57.12,56.63,56.83,7054843
13-Feb-13,56.86,57.26,56.41,57.05,9095970
12-Feb-13,56.40,57.18,56.11,56.78,10024431
11-Feb-13,56.52,56.58,55.75,56.41,5150867
8-Feb-13,56.46,57.08,56.39,56.62,8068809
7-Feb-13,56.17,56.39,55.35,56.13,7646663
6-Feb-13,56.01,56.50,55.72,56.11,7003570
5-Feb-13,56.03,56.87,55.80,56.42,6184868
4-Feb-13,56.65,56.73,55.63,55.69,8660368
1-Feb-13,56.41,57.26,56.13,57.21,8472024
31-Jan-13,55.36,56.26,55.31,55.97,7947041
30-Jan-13,55.98,56.50,55.52,55.78,6980029
29-Jan-13,55.66,55.84,55.29,55.66,7037793
28-Jan-13,56.19,56.34,55.73,55.95,7876948
25-Jan-13,56.00,56.66,55.92,56.53,13331075
24-Jan-13,53.58,55.34,53.57,55.19,12751146
23-Jan-13,53.39,54.02,53.33,53.38,9042114
22-Jan-13,54.15,54.32,53.06,53.37,10679180
18-Jan-13,54.17,54.50,53.70,54.21,10561234
17-Jan-13,54.13,54.88,53.75,54.17,24461540
16-Jan-13,52.93,53.46,51.88,52.90,22253043
15-Jan-13,53.19,53.46,52.36,52.50,9626721
14-Jan-13,53.58,53.67,52.83,53.18,10600457
11-Jan-13,53.14,53.83,53.06,53.70,11445644
