Date,Open,High,Low,Close,Volume
17-May-13,38.01,38.09,37.79,38.06,1663399
16-May-13,38.00,38.14,37.69,37.74,1917241
15-May-13,37.71,38.04,37.67,37.93,2033467
14-May-13,37.96,38.18,37.72,38.13,1611399
13-May-13,38.30,38.38,37.79,37.86,1828119
10-May-13,38.23,38.38,38.01,38.38,1606290
9-May-13,37.92,38.34,37.90,38.12,1730331
8-May-13,37.73,38.14,37.64,38.09,1630377
7-May-13,37.86,38.00,37.70,37.83,1791027
6-May-13,37.32,37.85,37.20,37.79,2196474
3-May-13,37.32,37.45,37.21,37.31,2528642
2-May-13,36.65,37.01,36.27,36.97,3066600
1-May-13,36.33,36.58,36.08,36.10,2566941
30-Apr-13,35.69,36.59,35.60,36.50,3945493
29-Apr-13,35.47,35.86,35.44,35.79,1846870
26-Apr-13,35.55,35.70,35.30,35.48,2755749
25-Apr-13,35.68,35.94,35.61,35.73,2525732
24-Apr-13,35.51,35.62,35.32,35.57,2755941
23-Apr-13,35.32,35.58,34.90,35.43,2042005
22-Apr-13,34.75,35.22,34.26,35.00,2586663
19-Apr-13,34.36,34.75,34.21,34.61,4146869
18-Apr-13,35.36,35.48,34.60,34.69,3468885
17-Apr-13,35.65,35.75,34.54,35.12,6205247
16-Apr-13,36.16,36.76,36.16,36.68,2450495
15-Apr-13,36.45,36.78,36.04,36.04,3519721
12-Apr-13,36.84,36.87,36.26,36.69,1646926
11-Apr-13,36.60,37.00,36.58,36.89,2206898
10-Apr-13,36.19,36.76,36.12,36.71,2073348
9-Apr-13,36.04,36.34,35.86,36.13,3181296
8-Apr-13,35.57,35.88,35.38,35.87,3670223
5-Apr-13,35.24,35.70,34.80,35.64,3667890
4-Apr-13,35.66,36.00,35.53,35.69,3944946
3-Apr-13,36.59,36.95,35.63,35.72,5365259
2-Apr-13,36.69,37.01,36.52,36.84,4680579
1-Apr-13,38.45,38.45,36.96,37.01,4754444
28-Mar-13,37.82,38.43,37.75,38.37,1584173
27-Mar-13,37.49,38.00,37.29,37.95,1662847
26-Mar-13,37.47,37.93,37.47,37.90,1507929
25-Mar-13,37.54,37.54,37.00,37.31,1327106
22-Mar-13,37.15,37.50,36.79,37.39,1518421
21-Mar-13,37.21,37.37,36.85,36.98,1608393
20-Mar-13,37.58,37.61,37.26,37.51,1889351
19-Mar-13,37.40,37.60,36.83,37.20,2811081
18-Mar-13,37.21,37.59,37.16,37.24,2658738
15-Mar-13,38.23,38.38,37.64,37.72,3201032
14-Mar-13,38.46,38.72,38.38,38.42,1483144
13-Mar-13,38.38,38.38,37.96,38.25,3281134
12-Mar-13,38.32,38.36,38.02,38.23,2415751
11-Mar-13,38.42,38.46,38.12,38.29,2975601
8-Mar-13,38.46,38.75,38.21,38.42,1726564
7-Mar-13,38.90,38.90,38.32,38.36,1886759
6-Mar-13,38.64,38.71,38.37,38.48,2002674
5-Mar-13,37.96,38.53,37.96,38.39,2251055
4-Mar-13,37.88,38.25,37.45,37.76,3199314
1-Mar-13,38.00,38.12,37.59,37.91,2603879
28-Feb-13,38.11,38.47,38.00,38.25,3696779
27-Feb-13,37.80,38.35,37.53,38.24,2324246
26-Feb-13,37.59,37.90,37.52,37.77,2795062
25-Feb-13,38.06,38.24,37.38,37.38,2518801
22-Feb-13,37.67,38.00,37.55,37.90,1677011
21-Feb-13,37.83,38.02,37.14,37.35,3180933
20-Feb-13,38.54,38.58,38.06,38.10,3270790
19-Feb-13,37.90,38.60,37.84,38.58,3085936
15-Feb-13,37.92,38.04,37.76,37.93,2742699
14-Feb-13,37.78,37.95,37.56,37.86,2285498
13-Feb-13,37.76,37.87,37.52,37.81,2074445
12-Feb-13,37.60,37.90,37.51,37.73,2044761
11-Feb-13,37.64,37.77,37.54,37.69,1805812
8-Feb-13,37.19,37.80,37.17,37.64,2826026
7-Feb-13,37.15,37.21,36.67,36.97,2725041
6-Feb-13,36.94,37.40,36.90,37.20,2261035
5-Feb-13,37.22,37.30,36.80,37.22,1934286
4-Feb-13,37.35,37.45,36.73,36.78,2715292
1-Feb-13,36.73,37.14,36.73,37.02,2723639
31-Jan-13,36.71,36.83,36.39,36.62,3549294
30-Jan-13,36.61,36.95,36.54,36.82,2009507
29-Jan-13,36.63,36.78,36.37,36.60,1862867
28-Jan-13,36.69,36.96,36.56,36.76,1510458
25-Jan-13,36.56,36.82,36.41,36.70,1895397
24-Jan-13,36.56,36.75,36.26,36.38,2200425
23-Jan-13,36.30,36.62,36.24,36.58,2226324
22-Jan-13,36.29,36.49,36.19,36.38,2164346
18-Jan-13,36.09,36.52,35.88,36.48,13177666
17-Jan-13,35.98,36.46,35.87,36.38,2428429
16-Jan-13,35.49,36.23,35.17,35.87,4123805
15-Jan-13,35.57,35.68,35.24,35.55,3469509
14-Jan-13,36.03,36.41,35.62,35.79,4038457
11-Jan-13,36.07,36.15,35.66,35.73,2772092
10-Jan-13,36.03,36.37,35.89,36.17,2204552
9-Jan-13,35.85,35.98,35.60,35.95,1817710
8-Jan-13,35.78,35.93,35.32,35.70,3039063
7-Jan-13,35.43,35.99,35.30,35.91,2259168
4-Jan-13,35.81,36.00,35.24,35.71,2335599
3-Jan-13,35.88,35.96,35.61,35.81,3281117
2-Jan-13,35.08,35.99,35.08,35.99,4597882
31-Dec-12,33.85,34.32,33.69,34.30,2195790
28-Dec-12,33.69,34.25,33.68,33.80,1689533
27-Dec-12,34.10,34.10,33.61,33.96,1801438
26-Dec-12,34.24,34.54,34.03,34.12,1326267
24-Dec-12,34.16,34.27,33.92,34.24,698279
21-Dec-12,34.01,34.35,33.68,34.22,3363733
20-Dec-12,34.26,34.49,33.91,34.39,1753160
19-Dec-12,34.45,34.70,34.14,34.14,2298620
18-Dec-12,33.89,34.56,33.84,34.35,2679149
17-Dec-12,33.55,33.93,33.44,33.74,2004185
14-Dec-12,33.46,33.76,33.30,33.58,1401463
13-Dec-12,33.81,33.93,33.38,33.61,2904708
12-Dec-12,34.52,34.62,34.35,34.46,1832799
11-Dec-12,34.04,34.60,33.90,34.42,2653244
10-Dec-12,33.66,33.84,33.45,33.77,1515882
7-Dec-12,33.79,33.80,33.42,33.66,1878124
6-Dec-12,33.14,33.57,33.03,33.51,1886720
5-Dec-12,33.01,33.22,32.84,33.17,1804790
4-Dec-12,33.03,33.13,32.84,33.02,2010706
3-Dec-12,33.45,33.63,32.94,32.98,2624095
30-Nov-12,33.08,33.33,33.06,33.19,2467008
29-Nov-12,33.15,33.22,32.89,33.08,1994841
28-Nov-12,32.13,32.92,31.77,32.88,2718218
27-Nov-12,32.42,32.55,32.21,32.32,1450933
26-Nov-12,32.29,32.63,32.21,32.42,1229912
23-Nov-12,32.07,32.54,31.93,32.45,745109
21-Nov-12,32.09,32.09,31.83,31.90,872103
20-Nov-12,31.83,32.02,31.63,31.91,1146916
19-Nov-12,31.63,32.00,31.52,31.97,1744728
16-Nov-12,31.36,31.49,30.79,31.24,2602720
15-Nov-12,31.78,31.86,31.32,31.47,1893117
14-Nov-12,32.46,32.81,31.74,31.83,2295169
13-Nov-12,32.13,32.60,32.13,32.36,2248782
12-Nov-12,32.60,32.60,32.16,32.43,1937509
9-Nov-12,32.50,32.91,32.42,32.48,2793443
8-Nov-12,32.80,32.94,32.43,32.46,3291612
7-Nov-12,32.76,32.91,32.09,32.32,3039542
6-Nov-12,32.98,33.35,32.86,33.19,2816248
5-Nov-12,32.34,33.01,32.22,32.92,2890211
2-Nov-12,33.75,33.75,32.17,32.25,2742482
1-Nov-12,31.40,32.70,31.40,32.64,3366394
31-Oct-12,31.60,31.81,31.17,31.26,1737339
26-Oct-12,31.41,31.64,31.28,31.58,2783401
25-Oct-12,31.28,31.58,31.15,31.41,1992880
24-Oct-12,31.36,31.52,30.97,31.00,2402181
23-Oct-12,30.88,31.34,30.80,31.27,2850954
22-Oct-12,31.23,31.42,31.04,31.24,2749993
19-Oct-12,31.45,31.56,31.06,31.20,3623719
18-Oct-12,31.95,32.07,31.50,31.60,3145477
17-Oct-12,31.69,32.70,31.61,32.22,4857838
16-Oct-12,32.20,32.77,31.99,32.56,2475998
15-Oct-12,31.66,32.12,31.54,32.04,2344484
12-Oct-12,31.84,31.94,31.43,31.51,2327794
11-Oct-12,31.91,31.97,31.68,31.77,1728480
10-Oct-12,31.89,31.98,31.57,31.61,2044569
9-Oct-12,32.76,32.87,31.96,31.99,3527770
8-Oct-12,32.77,33.02,32.63,32.93,2085976
5-Oct-12,33.08,33.50,32.87,33.23,2598733
4-Oct-12,33.17,33.46,32.94,33.41,2626418
3-Oct-12,33.05,33.21,32.62,33.00,3680974
2-Oct-12,33.34,33.37,32.52,33.04,6027507
1-Oct-12,32.23,33.08,32.16,32.57,5848064
28-Sep-12,32.18,32.20,31.82,31.82,2260762
27-Sep-12,31.95,32.34,31.65,32.23,2664617
26-Sep-12,31.73,31.80,31.42,31.64,1790768
25-Sep-12,32.79,32.83,31.75,31.77,2257964
24-Sep-12,32.77,32.85,32.53,32.58,1482478
21-Sep-12,33.11,33.34,32.84,32.91,2829909
20-Sep-12,33.00,33.20,32.81,33.06,1842863
19-Sep-12,33.33,33.70,32.98,33.00,2134270
18-Sep-12,32.98,33.44,32.97,33.39,1130579
17-Sep-12,33.84,34.09,33.29,33.40,1180799
14-Sep-12,33.59,34.09,33.52,33.67,2324696
13-Sep-12,33.04,33.58,32.73,33.47,1548579
12-Sep-12,33.15,33.37,32.98,33.11,1267274
11-Sep-12,33.05,33.35,32.85,33.15,1322056
10-Sep-12,33.39,33.49,33.02,33.06,1778433
7-Sep-12,33.50,33.69,33.40,33.55,1157665
6-Sep-12,32.96,33.69,32.73,33.67,1844172
5-Sep-12,32.59,32.88,32.45,32.65,1185048
4-Sep-12,32.54,32.91,32.18,32.70,1773896
31-Aug-12,32.76,33.14,32.57,33.02,2241405
30-Aug-12,32.62,32.72,32.45,32.45,1755931
29-Aug-12,32.61,32.86,32.35,32.68,1703289
28-Aug-12,32.66,32.94,32.62,32.69,1175160
27-Aug-12,32.93,33.00,32.59,32.71,801835
24-Aug-12,32.73,32.98,32.52,32.91,1658120
23-Aug-12,32.78,32.85,32.47,32.70,991553
22-Aug-12,32.96,32.96,32.60,32.82,1298231
21-Aug-12,32.87,33.17,32.81,32.92,1208330
20-Aug-12,33.19,33.21,32.69,32.87,1547720
17-Aug-12,33.38,33.39,33.03,33.19,1927802
16-Aug-12,33.09,33.40,32.94,33.30,1789670
15-Aug-12,33.06,33.42,33.02,33.09,1507542
14-Aug-12,33.22,33.40,33.11,33.29,1847575
13-Aug-12,32.99,33.14,32.71,33.14,1385574
10-Aug-12,33.00,33.14,32.78,33.13,1888456
9-Aug-12,32.82,33.23,32.82,33.02,1684177
8-Aug-12,32.88,33.05,32.69,32.86,1883329
7-Aug-12,32.82,33.24,32.82,32.95,1817574
6-Aug-12,32.43,32.94,32.29,32.73,1711858
3-Aug-12,32.59,32.61,32.10,32.46,1738366
2-Aug-12,31.94,32.39,31.71,32.03,2192578
1-Aug-12,32.31,32.45,31.91,32.11,2331973
31-Jul-12,32.19,32.65,32.17,32.25,2768923
30-Jul-12,32.41,32.64,31.93,32.22,2459098
27-Jul-12,31.90,32.57,31.80,32.46,3051346
26-Jul-12,31.63,31.94,31.27,31.76,2637613
25-Jul-12,30.20,31.72,29.91,31.12,5275094
24-Jul-12,30.45,30.55,29.80,30.12,3216161
23-Jul-12,30.25,30.74,29.76,30.56,2515040
20-Jul-12,30.96,31.03,30.67,30.77,2589962
19-Jul-12,31.06,31.50,30.90,31.08,3272419
18-Jul-12,29.77,31.01,29.73,31.00,3108239
17-Jul-12,29.92,30.03,29.28,29.83,1943770
16-Jul-12,29.96,30.08,29.68,29.80,1723880
13-Jul-12,29.66,30.20,29.65,30.10,1549201
12-Jul-12,29.79,29.89,29.44,29.66,2471103
11-Jul-12,30.24,30.44,29.90,30.09,1382676
10-Jul-12,30.51,30.74,29.91,30.17,2248362
9-Jul-12,30.73,30.90,30.28,30.43,2439205
6-Jul-12,31.44,31.62,30.62,30.85,1936176
5-Jul-12,31.51,31.82,31.20,31.61,1418376
3-Jul-12,31.28,31.66,31.28,31.66,692761
2-Jul-12,31.53,31.56,31.01,31.35,1607199
29-Jun-12,30.69,31.33,30.66,31.33,1985610
28-Jun-12,30.23,30.45,29.94,30.25,2812135
27-Jun-12,30.14,30.67,30.08,30.51,2106223
26-Jun-12,29.87,30.07,29.60,29.98,1481334
25-Jun-12,30.35,30.41,29.76,29.86,1313797
22-Jun-12,30.48,30.68,30.28,30.65,1451973
21-Jun-12,30.99,31.13,30.20,30.28,3148317
20-Jun-12,30.95,31.19,30.78,31.03,2323510
19-Jun-12,30.75,30.97,30.63,30.91,2480378
18-Jun-12,29.76,30.69,29.67,30.54,2934399
15-Jun-12,29.61,29.90,29.56,29.87,2495367
14-Jun-12,29.63,29.77,29.24,29.60,2474588
13-Jun-12,29.83,29.90,29.39,29.57,1616382
12-Jun-12,29.34,29.90,29.34,29.85,2678912
11-Jun-12,30.15,30.19,29.38,29.42,2007135
8-Jun-12,29.58,29.99,29.47,29.82,2507763
7-Jun-12,30.45,30.45,29.61,29.62,2396382
6-Jun-12,29.27,30.16,29.22,30.13,2889664
5-Jun-12,28.56,29.15,28.56,29.08,2991858
4-Jun-12,28.55,28.75,28.29,28.69,2319968
1-Jun-12,28.47,28.76,28.28,28.31,2898616
31-May-12,29.00,29.18,28.68,29.02,2176979
30-May-12,29.09,29.25,28.83,29.11,1813121
29-May-12,29.26,29.59,29.22,29.42,2339255
25-May-12,29.18,29.43,29.07,29.15,1290239
24-May-12,29.24,29.27,28.85,29.14,2812083
23-May-12,29.00,29.18,28.66,29.16,2913162
22-May-12,29.42,29.54,29.13,29.29,2062710
21-May-12,28.97,29.50,28.88,29.35,2749150
18-May-12,29.60,29.60,28.88,28.93,1731133
17-May-12,29.80,29.89,29.45,29.45,2195387
16-May-12,30.03,30.25,29.80,29.84,2083553
15-May-12,30.45,30.54,30.08,30.16,1575563
14-May-12,30.42,30.60,30.13,30.42,1470340
11-May-12,30.70,31.05,30.62,30.65,1645524
10-May-12,30.99,31.10,30.47,30.76,1752825
9-May-12,30.74,31.01,30.35,30.87,1880282
8-May-12,30.96,31.21,30.38,31.10,2346573
7-May-12,30.98,31.25,30.88,31.10,1475219
4-May-12,31.44,31.75,31.16,31.28,1892038
3-May-12,32.47,32.53,31.70,31.75,2006658
2-May-12,32.34,32.56,32.12,32.53,2129030
1-May-12,32.61,32.90,32.51,32.58,1378412
30-Apr-12,32.77,32.93,32.62,32.71,1438744
27-Apr-12,32.80,33.08,32.59,32.86,2113345
26-Apr-12,32.17,32.76,32.17,32.62,2188864
25-Apr-12,32.16,32.31,31.99,32.24,1769196
24-Apr-12,32.16,32.33,31.79,31.90,1425814
23-Apr-12,31.98,32.11,31.77,32.06,2364039
20-Apr-12,33.01,33.06,32.23,32.33,3393071
19-Apr-12,32.94,33.59,32.78,32.93,3726176
18-Apr-12,32.85,33.25,32.72,33.05,4270094
17-Apr-12,32.74,33.35,32.62,33.15,3769983
16-Apr-12,33.00,33.33,32.46,32.51,4140340
13-Apr-12,32.32,32.43,32.05,32.05,1975203
12-Apr-12,32.07,32.57,32.06,32.48,1830431
11-Apr-12,31.84,32.41,31.84,32.14,3152415
10-Apr-12,31.94,32.15,31.44,31.52,2723694
9-Apr-12,31.91,32.12,31.69,32.04,2623236
5-Apr-12,32.18,32.44,32.16,32.33,1611472
4-Apr-12,32.19,32.41,31.98,32.29,3017025
3-Apr-12,32.80,32.92,32.25,32.46,3915884
2-Apr-12,33.29,33.30,32.70,33.03,4305654
30-Mar-12,33.54,33.86,33.26,33.70,2823856
29-Mar-12,33.10,33.34,32.84,33.30,2832021
28-Mar-12,33.53,33.53,32.98,33.23,2112458
27-Mar-12,33.68,33.70,33.46,33.49,1553630
26-Mar-12,33.47,33.66,33.30,33.59,2272085
23-Mar-12,33.46,33.47,33.08,33.22,1961412
22-Mar-12,33.47,33.64,33.30,33.40,2313192
21-Mar-12,33.77,33.98,33.56,33.63,1291889
