Date,Open,High,Low,Close,Volume
17-May-13,7.15,7.25,7.13,7.23,4737670
16-May-13,7.08,7.15,7.08,7.12,4933757
15-May-13,6.92,7.09,6.88,7.09,6867523
14-May-13,6.81,7.06,6.80,7.03,9136223
13-May-13,7.03,7.05,6.82,6.83,6926299
10-May-13,7.00,7.05,6.94,7.03,4505652
9-May-13,6.83,7.01,6.83,6.96,8081364
8-May-13,6.68,6.88,6.68,6.88,5406876
7-May-13,6.75,6.81,6.63,6.68,8083541
6-May-13,6.74,6.85,6.64,6.65,11945221
3-May-13,6.50,6.74,6.50,6.72,8657701
2-May-13,6.37,6.46,6.37,6.43,3711738
1-May-13,6.34,6.44,6.31,6.40,7293077
30-Apr-13,6.46,6.55,6.41,6.54,7326979
29-Apr-13,6.42,6.48,6.38,6.46,3936241
26-Apr-13,6.48,6.48,6.38,6.40,6578540
25-Apr-13,6.44,6.58,6.38,6.47,10983692
24-Apr-13,6.22,6.39,6.18,6.35,6874337
23-Apr-13,6.17,6.24,6.12,6.20,4372690
22-Apr-13,6.16,6.17,5.99,6.14,3718156
19-Apr-13,6.12,6.17,6.01,6.10,3660108
18-Apr-13,6.24,6.27,6.06,6.09,4520992
17-Apr-13,6.31,6.36,6.17,6.18,6541406
16-Apr-13,6.27,6.46,6.26,6.39,6017436
15-Apr-13,6.32,6.38,6.19,6.20,5312464
12-Apr-13,6.48,6.58,6.30,6.40,5674453
11-Apr-13,6.50,6.60,6.45,6.52,7179946
10-Apr-13,6.43,6.55,6.42,6.52,5829469
9-Apr-13,6.46,6.50,6.37,6.43,4215235
8-Apr-13,6.44,6.47,6.29,6.45,4599568
5-Apr-13,6.21,6.46,6.05,6.45,12960400
4-Apr-13,6.17,6.39,6.10,6.33,6539392
3-Apr-13,6.43,6.49,6.17,6.17,10707607
2-Apr-13,6.59,6.60,6.45,6.47,3482948
1-Apr-13,6.77,6.77,6.52,6.55,4377284
28-Mar-13,6.75,6.81,6.70,6.78,4020641
27-Mar-13,6.61,6.76,6.61,6.73,3465889
26-Mar-13,6.59,6.75,6.55,6.71,6774850
25-Mar-13,6.64,6.70,6.51,6.57,4007760
22-Mar-13,6.67,6.73,6.60,6.61,3283015
21-Mar-13,6.77,6.79,6.66,6.69,3345843
20-Mar-13,6.78,6.85,6.74,6.84,3104567
19-Mar-13,6.76,6.81,6.65,6.73,6073947
18-Mar-13,6.73,6.91,6.62,6.75,6916780
15-Mar-13,7.03,7.10,6.86,6.86,6091736
14-Mar-13,7.04,7.12,7.00,7.05,5772679
13-Mar-13,6.93,7.01,6.91,6.98,5620002
12-Mar-13,6.82,6.96,6.81,6.95,2860631
11-Mar-13,6.88,6.98,6.85,6.87,5285426
8-Mar-13,6.90,6.92,6.82,6.92,5161575
7-Mar-13,6.88,6.92,6.80,6.82,7405070
6-Mar-13,6.88,6.89,6.80,6.85,6390335
5-Mar-13,6.81,6.92,6.81,6.85,5808340
4-Mar-13,6.80,6.87,6.70,6.76,6368761
1-Mar-13,6.95,6.98,6.81,6.89,5807637
28-Feb-13,7.05,7.15,6.96,6.96,5168744
27-Feb-13,6.81,7.13,6.78,7.06,13144867
26-Feb-13,6.75,6.86,6.59,6.81,9812322
25-Feb-13,7.16,7.19,6.80,6.83,7079079
22-Feb-13,7.02,7.14,7.00,7.10,7737696
21-Feb-13,7.00,7.01,6.88,6.94,11018224
20-Feb-13,7.35,7.36,7.00,7.01,4544960
19-Feb-13,7.12,7.24,7.11,7.22,5433255
15-Feb-13,7.30,7.34,7.09,7.11,6936127
14-Feb-13,7.10,7.34,7.08,7.29,8467105
13-Feb-13,7.22,7.25,7.11,7.11,6099983
12-Feb-13,7.11,7.22,7.10,7.19,3820616
11-Feb-13,7.15,7.20,7.14,7.14,3201936
8-Feb-13,7.02,7.20,6.99,7.17,9479904
7-Feb-13,7.26,7.26,6.97,6.99,10503919
6-Feb-13,7.19,7.30,7.15,7.29,7364222
5-Feb-13,7.22,7.27,7.12,7.22,9967597
4-Feb-13,7.35,7.36,7.11,7.12,6793763
1-Feb-13,7.13,7.47,7.03,7.38,17906059
31-Jan-13,7.19,7.24,7.03,7.04,10096084
30-Jan-13,7.20,7.28,7.14,7.19,7196817
29-Jan-13,7.36,7.40,7.18,7.21,6632695
28-Jan-13,7.35,7.46,7.34,7.38,6273580
25-Jan-13,7.27,7.37,7.27,7.32,6018290
24-Jan-13,7.34,7.66,7.21,7.29,15537437
23-Jan-13,7.39,7.53,7.31,7.51,9302082
22-Jan-13,7.31,7.43,7.25,7.30,6442053
18-Jan-13,7.39,7.48,7.29,7.33,5227900
17-Jan-13,7.45,7.50,7.36,7.40,5310924
16-Jan-13,7.18,7.47,7.17,7.42,7337030
15-Jan-13,7.21,7.22,7.10,7.19,5862215
14-Jan-13,7.12,7.24,7.10,7.21,4702515
11-Jan-13,7.09,7.18,7.05,7.15,3282926
10-Jan-13,6.96,7.11,6.96,7.11,10476279
9-Jan-13,6.99,7.14,6.84,6.91,8592407
8-Jan-13,7.15,7.19,6.80,6.92,12990332
7-Jan-13,7.25,7.32,7.18,7.18,5157004
4-Jan-13,7.31,7.34,7.21,7.30,4585101
3-Jan-13,7.37,7.50,7.29,7.34,10347159
2-Jan-13,7.28,7.55,7.26,7.55,8680562
31-Dec-12,6.88,7.13,6.88,7.07,5286801
28-Dec-12,6.90,7.03,6.85,6.92,4253805
27-Dec-12,6.87,6.94,6.79,6.91,4325250
26-Dec-12,6.94,7.03,6.85,6.85,3274070
24-Dec-12,7.00,7.00,6.91,6.96,1351938
21-Dec-12,6.80,7.03,6.77,7.00,8164157
