Date,Open,High,Low,Close,Volume
17-May-13,30.08,30.45,29.70,30.43,578420
16-May-13,29.78,30.23,29.54,29.95,1005870
15-May-13,28.85,29.85,28.60,29.85,671515
14-May-13,29.40,29.68,29.22,29.68,495698
13-May-13,29.57,29.58,29.30,29.43,526556
10-May-13,29.51,29.62,29.19,29.60,395510
9-May-13,29.11,29.50,29.06,29.42,609178
8-May-13,28.94,29.18,28.78,29.15,544860
7-May-13,28.90,28.97,28.54,28.87,563244
6-May-13,28.63,28.89,28.43,28.81,569697
3-May-13,28.10,28.58,27.78,28.53,643812
2-May-13,27.19,27.79,27.13,27.71,796828
1-May-13,27.42,27.56,27.14,27.17,710654
30-Apr-13,27.02,27.60,26.83,27.57,727724
29-Apr-13,26.99,27.16,26.78,26.98,728956
26-Apr-13,27.07,27.16,26.82,26.89,835296
25-Apr-13,26.65,27.28,26.57,27.00,1196118
24-Apr-13,26.29,26.69,26.14,26.58,1357733
23-Apr-13,25.68,26.62,25.49,26.38,2445714
22-Apr-13,27.20,27.62,26.86,27.47,886966
19-Apr-13,27.09,27.19,26.86,27.09,711706
18-Apr-13,27.36,27.44,26.96,26.97,610886
17-Apr-13,28.01,28.01,27.22,27.27,1053016
16-Apr-13,28.05,28.40,27.94,28.38,699150
15-Apr-13,28.84,28.84,27.79,27.83,975701
12-Apr-13,29.33,29.41,28.94,29.04,767138
11-Apr-13,29.13,29.44,28.98,29.42,483816
10-Apr-13,28.48,29.11,28.33,29.09,376986
9-Apr-13,28.32,28.49,28.15,28.46,475088
8-Apr-13,28.15,28.25,27.90,28.22,478672
5-Apr-13,28.07,28.35,28.04,28.17,485601
4-Apr-13,28.48,28.66,28.36,28.52,421407
3-Apr-13,28.71,28.86,28.45,28.53,725828
2-Apr-13,29.26,29.33,28.58,28.66,577013
1-Apr-13,29.50,29.56,28.98,29.03,555154
28-Mar-13,29.10,29.34,28.80,29.28,403067
27-Mar-13,28.75,29.08,28.75,29.03,400338
26-Mar-13,29.26,29.29,28.88,29.00,627064
25-Mar-13,29.14,29.36,29.12,29.30,871780
22-Mar-13,28.77,29.02,28.65,29.02,667975
21-Mar-13,28.72,28.85,28.59,28.73,496098
20-Mar-13,28.85,28.94,28.69,28.91,328317
19-Mar-13,28.62,28.71,28.26,28.62,430273
18-Mar-13,28.34,28.71,28.24,28.45,421328
15-Mar-13,28.73,28.89,28.41,28.68,974578
14-Mar-13,28.83,28.95,28.66,28.91,256642
13-Mar-13,28.80,28.80,28.53,28.70,252678
12-Mar-13,28.74,28.78,28.54,28.70,389295
11-Mar-13,28.65,28.73,28.40,28.72,450223
8-Mar-13,28.39,28.62,28.07,28.61,510617
7-Mar-13,28.42,28.44,28.07,28.19,461633
6-Mar-13,28.24,28.47,28.10,28.26,377950
5-Mar-13,28.01,28.40,28.01,28.15,374260
4-Mar-13,27.75,27.80,27.44,27.75,366456
1-Mar-13,27.58,27.90,27.27,27.83,609065
28-Feb-13,27.86,28.13,27.70,27.74,383195
27-Feb-13,27.28,27.81,27.28,27.73,329086
26-Feb-13,27.32,27.41,27.08,27.35,512800
25-Feb-13,28.20,28.20,27.16,27.18,454737
22-Feb-13,27.74,27.93,27.64,27.93,422257
21-Feb-13,28.10,28.10,27.48,27.63,475025
20-Feb-13,28.31,28.53,28.08,28.19,676386
19-Feb-13,27.61,28.26,27.48,28.25,486414
15-Feb-13,27.90,28.15,27.80,28.05,908598
14-Feb-13,27.85,27.96,27.68,27.86,498489
13-Feb-13,27.86,28.06,27.75,27.93,308351
12-Feb-13,27.70,27.84,27.65,27.82,241687
11-Feb-13,27.50,27.71,27.42,27.69,341505
8-Feb-13,27.63,27.90,27.49,27.54,527432
7-Feb-13,27.64,27.64,27.25,27.49,390951
6-Feb-13,27.42,27.62,27.37,27.53,559857
5-Feb-13,27.32,27.71,27.14,27.60,556907
4-Feb-13,27.22,27.37,27.07,27.09,328843
1-Feb-13,27.30,27.57,27.18,27.41,558039
31-Jan-13,27.06,27.21,26.96,27.16,470156
30-Jan-13,27.21,27.30,26.91,27.01,698285
29-Jan-13,27.02,27.24,26.99,27.22,414854
28-Jan-13,27.34,27.36,27.05,27.14,630741
25-Jan-13,27.18,27.47,27.18,27.47,592621
24-Jan-13,27.69,27.75,26.77,27.17,1283405
23-Jan-13,28.73,28.73,27.80,27.83,961452
22-Jan-13,28.43,28.72,28.31,28.67,591204
18-Jan-13,28.60,28.60,28.23,28.49,486149
17-Jan-13,28.33,28.59,28.16,28.45,456769
16-Jan-13,28.22,28.26,28.10,28.25,436774
15-Jan-13,28.13,28.35,28.07,28.32,397700
14-Jan-13,28.55,28.78,28.30,28.35,478531
11-Jan-13,28.57,28.65,28.29,28.64,841288
10-Jan-13,28.75,28.81,28.24,28.50,654971
9-Jan-13,28.16,28.54,27.89,28.52,568479
8-Jan-13,28.17,28.22,27.97,28.03,647658
7-Jan-13,28.43,28.49,28.24,28.32,579929
4-Jan-13,28.68,28.82,28.52,28.62,892397
3-Jan-13,28.54,29.00,28.28,28.62,836933
2-Jan-13,27.96,28.54,27.85,28.54,1033935
31-Dec-12,26.68,27.34,26.63,27.33,636435
28-Dec-12,26.82,27.02,26.68,26.68,440667
27-Dec-12,27.13,27.16,26.78,27.07,407767
26-Dec-12,27.14,27.35,27.02,27.04,359461
24-Dec-12,27.11,27.48,27.02,27.10,197774
21-Dec-12,27.40,27.40,27.02,27.13,1313264
20-Dec-12,27.39,27.71,27.16,27.67,663506
19-Dec-12,27.34,27.45,27.21,27.21,477457
18-Dec-12,26.86,27.31,26.71,27.28,765060
17-Dec-12,26.71,26.97,26.63,26.91,757058
14-Dec-12,26.93,27.02,26.57,26.70,573711
13-Dec-12,27.08,27.27,26.81,26.96,514550
12-Dec-12,27.17,27.34,27.02,27.14,411943
11-Dec-12,27.24,27.24,27.02,27.16,713313
10-Dec-12,27.05,27.14,26.91,27.05,393055
7-Dec-12,26.85,27.01,26.74,27.00,407401
6-Dec-12,26.36,26.79,26.32,26.77,506068
5-Dec-12,26.45,26.61,26.18,26.45,885623
4-Dec-12,26.64,26.82,26.12,26.41,857681
3-Dec-12,26.63,26.70,26.22,26.57,859503
30-Nov-12,26.42,26.63,26.33,26.38,659472
29-Nov-12,26.49,26.62,26.22,26.40,486001
28-Nov-12,25.95,26.40,25.75,26.37,427341
27-Nov-12,26.38,26.55,26.26,26.29,379632
26-Nov-12,26.54,26.63,26.33,26.44,374083
23-Nov-12,26.29,26.62,26.05,26.62,134887
21-Nov-12,26.03,26.16,25.90,26.06,223024
20-Nov-12,25.85,26.08,25.74,25.98,282013
19-Nov-12,25.90,26.05,25.74,25.93,438269
16-Nov-12,25.25,25.61,25.04,25.46,869764
15-Nov-12,25.20,25.49,24.99,25.21,803910
14-Nov-12,25.70,25.81,25.00,25.04,465498
13-Nov-12,25.52,25.94,25.52,25.56,387245
12-Nov-12,25.81,25.98,25.52,25.65,272035
9-Nov-12,25.60,25.97,25.31,25.75,804391
8-Nov-12,25.68,26.28,25.50,25.61,398550
7-Nov-12,26.52,26.58,25.76,25.98,640578
6-Nov-12,26.41,27.16,26.33,26.92,608207
5-Nov-12,25.88,26.34,25.82,26.27,478785
2-Nov-12,26.50,26.55,25.99,26.05,326268
1-Nov-12,25.99,26.58,25.77,26.33,544083
31-Oct-12,25.75,26.10,25.50,25.96,685754
26-Oct-12,25.81,25.92,25.64,25.71,574618
25-Oct-12,25.98,25.99,25.60,25.86,435492
24-Oct-12,25.86,25.90,25.48,25.67,637510
23-Oct-12,26.22,26.28,25.47,25.80,969866
22-Oct-12,26.48,26.84,26.21,26.65,932335
19-Oct-12,26.67,26.96,26.47,26.57,800533
18-Oct-12,26.92,27.04,26.61,26.87,599430
17-Oct-12,26.67,27.08,26.67,26.92,467000
16-Oct-12,25.84,26.63,25.81,26.60,685829
15-Oct-12,25.74,25.82,25.50,25.71,869427
12-Oct-12,25.81,26.00,25.62,25.69,426926
11-Oct-12,25.93,26.09,25.78,25.89,445704
10-Oct-12,25.62,25.92,25.56,25.74,596517
9-Oct-12,25.97,26.17,25.68,25.76,742280
8-Oct-12,25.98,26.26,25.98,26.04,455771
5-Oct-12,25.99,26.80,25.99,26.19,473710
4-Oct-12,26.19,26.26,25.95,26.15,662708
3-Oct-12,26.33,26.47,26.01,26.10,429927
2-Oct-12,26.13,26.39,25.93,26.22,652652
1-Oct-12,26.34,26.40,25.86,25.98,678630
28-Sep-12,26.19,26.48,26.11,26.28,560391
27-Sep-12,26.30,26.41,26.10,26.38,369548
26-Sep-12,26.53,26.75,25.93,26.08,640439
25-Sep-12,27.26,27.29,26.65,26.69,657686
24-Sep-12,27.15,27.38,27.05,27.20,389592
21-Sep-12,27.70,27.89,27.48,27.51,776620
20-Sep-12,27.64,27.79,27.47,27.66,371418
19-Sep-12,28.04,28.14,27.74,27.79,363575
18-Sep-12,28.03,28.29,27.83,27.95,637639
17-Sep-12,28.06,28.28,27.79,28.20,514940
14-Sep-12,27.87,28.27,27.79,27.95,714514
13-Sep-12,27.33,27.99,27.07,27.87,471099
12-Sep-12,27.31,27.44,27.23,27.35,358980
11-Sep-12,27.10,27.54,27.10,27.26,449432
10-Sep-12,27.32,27.50,27.08,27.11,382967
7-Sep-12,26.94,27.37,26.87,27.36,428563
6-Sep-12,26.40,27.04,26.10,26.97,608288
5-Sep-12,26.42,26.58,26.11,26.19,887579
4-Sep-12,26.55,26.56,26.13,26.48,790322
31-Aug-12,26.62,26.77,26.36,26.55,364233
30-Aug-12,26.75,26.78,26.20,26.40,576753
29-Aug-12,26.96,27.21,26.79,26.95,339458
28-Aug-12,26.97,27.09,26.90,26.92,276665
27-Aug-12,27.17,27.26,26.84,27.01,457083
24-Aug-12,26.84,27.19,26.67,27.14,249322
23-Aug-12,26.98,27.15,26.82,26.92,497987
22-Aug-12,27.29,27.34,26.86,27.05,552985
21-Aug-12,27.44,27.62,27.18,27.28,453673
20-Aug-12,27.38,27.49,27.07,27.31,304620
17-Aug-12,27.23,27.48,27.05,27.39,470898
16-Aug-12,26.75,27.29,26.70,27.16,502078
15-Aug-12,26.61,26.78,26.42,26.64,464241
14-Aug-12,26.64,26.85,26.42,26.53,722792
13-Aug-12,26.20,26.48,26.11,26.47,393209
10-Aug-12,26.00,26.27,25.66,26.26,572937
9-Aug-12,25.91,26.36,25.88,26.06,724522
8-Aug-12,26.09,26.19,24.89,25.90,1467062
7-Aug-12,26.38,27.00,26.35,26.70,839951
6-Aug-12,26.16,26.45,25.98,26.28,745377
3-Aug-12,25.43,26.01,25.29,25.99,570400
2-Aug-12,25.02,25.28,24.66,24.89,537176
1-Aug-12,25.32,25.47,25.12,25.21,801842
31-Jul-12,25.13,25.41,24.99,25.12,615388
30-Jul-12,25.29,25.49,24.94,25.14,384931
27-Jul-12,24.75,25.36,24.45,25.30,682898
26-Jul-12,24.40,24.62,24.26,24.53,643453
25-Jul-12,23.93,24.32,23.85,23.92,575340
