Date,Open,High,Low,Close,Volume
17-May-13,14.70,14.97,14.59,14.87,7803782
16-May-13,14.68,14.83,14.58,14.63,7709263
15-May-13,14.38,14.75,14.38,14.70,7830501
14-May-13,14.41,14.57,14.26,14.45,11353420
13-May-13,14.44,14.50,14.18,14.24,7251447
10-May-13,14.20,14.60,14.20,14.54,21531492
9-May-13,13.65,13.97,13.63,13.91,14169966
8-May-13,13.67,13.98,13.62,13.90,8352538
7-May-13,13.83,13.86,13.52,13.65,11201659
6-May-13,13.87,13.94,13.75,13.83,5428397
3-May-13,13.90,13.97,13.82,13.87,7346592
2-May-13,13.64,13.85,13.56,13.81,8087250
1-May-13,13.77,13.86,13.60,13.65,8532822
30-Apr-13,13.60,13.77,13.51,13.77,6917879
29-Apr-13,13.43,13.62,13.37,13.57,6742750
26-Apr-13,13.45,13.47,13.34,13.41,8108769
25-Apr-13,13.43,13.50,13.31,13.47,8830661
24-Apr-13,12.96,13.47,12.95,13.36,13914793
23-Apr-13,12.70,13.05,12.68,12.92,9425441
22-Apr-13,12.56,12.70,12.46,12.59,6139119
19-Apr-13,12.53,12.60,12.37,12.57,7575797
18-Apr-13,12.82,12.90,12.54,12.54,10063689
17-Apr-13,12.86,12.98,12.71,12.78,13325330
16-Apr-13,12.94,13.05,12.87,12.96,11721127
15-Apr-13,13.05,13.09,12.74,12.82,10761667
12-Apr-13,12.83,13.23,12.72,13.09,19264253
11-Apr-13,12.65,12.85,12.30,12.77,24230658
10-Apr-13,12.64,12.85,12.61,12.83,9617104
9-Apr-13,12.44,12.72,12.35,12.63,9514723
8-Apr-13,12.47,12.47,12.20,12.43,8166419
5-Apr-13,12.07,12.46,12.04,12.46,13783874
4-Apr-13,12.09,12.29,12.05,12.24,7368250
3-Apr-13,12.26,12.33,12.04,12.13,8828846
2-Apr-13,12.42,12.45,12.20,12.28,9288174
1-Apr-13,12.80,12.80,12.32,12.41,11070735
28-Mar-13,12.62,12.84,12.53,12.83,8731828
27-Mar-13,12.45,12.72,12.42,12.65,6373761
26-Mar-13,12.44,12.51,12.39,12.50,5814096
25-Mar-13,12.55,12.56,12.32,12.41,9052001
22-Mar-13,12.46,12.53,12.41,12.48,5811849
21-Mar-13,12.55,12.57,12.40,12.42,8475952
20-Mar-13,12.59,12.66,12.48,12.62,8514701
19-Mar-13,12.56,12.62,12.38,12.47,8886910
18-Mar-13,12.56,12.67,12.46,12.55,7457792
15-Mar-13,12.75,12.75,12.59,12.64,8894808
14-Mar-13,12.82,12.86,12.67,12.75,9582541
13-Mar-13,12.74,12.96,12.62,12.74,12145998
12-Mar-13,12.68,12.78,12.56,12.74,7771397
11-Mar-13,12.69,12.75,12.59,12.70,7493637
8-Mar-13,12.79,12.88,12.73,12.82,6162082
7-Mar-13,12.86,12.99,12.69,12.76,7875550
6-Mar-13,12.88,13.00,12.73,12.79,8573183
5-Mar-13,12.73,12.82,12.66,12.80,9154994
4-Mar-13,12.62,12.78,12.52,12.66,8842214
1-Mar-13,12.57,12.75,12.46,12.71,9734824
