Date,Open,High,Low,Close,Volume
17-May-13,59.02,59.96,58.33,59.90,3707292
16-May-13,58.78,59.76,58.41,58.52,3511742
15-May-13,58.14,59.35,58.13,59.01,3729941
14-May-13,57.73,58.56,57.23,58.49,3270142
13-May-13,56.89,57.96,56.59,57.90,3441370
10-May-13,56.81,57.90,56.80,57.23,4157568
9-May-13,55.25,56.86,55.20,56.65,5317129
8-May-13,55.51,56.27,54.16,55.24,6663876
7-May-13,54.84,55.91,54.44,55.42,3934684
6-May-13,53.86,54.69,53.55,54.60,2873384
3-May-13,53.05,54.81,53.01,53.88,4953998
2-May-13,51.38,52.79,51.20,52.61,4973594
1-May-13,52.43,52.49,50.90,51.18,6636331
30-Apr-13,54.05,54.16,51.90,52.44,6129608
29-Apr-13,53.94,54.50,53.52,54.17,2946547
26-Apr-13,53.71,54.36,53.38,53.90,2986172
25-Apr-13,54.33,54.48,53.48,53.69,5167303
24-Apr-13,53.91,54.46,53.13,54.26,3713944
23-Apr-13,52.58,53.87,52.58,53.42,5500985
22-Apr-13,52.35,52.53,50.68,52.13,5614215
19-Apr-13,51.93,52.90,51.62,52.31,5355810
18-Apr-13,56.61,57.33,51.41,52.02,16459818
17-Apr-13,57.12,57.13,54.50,55.72,11199282
16-Apr-13,56.60,57.82,56.40,57.49,4085299
15-Apr-13,57.70,58.22,55.81,55.99,5013256
12-Apr-13,58.90,58.92,57.45,57.71,2916592
11-Apr-13,58.31,58.75,57.48,58.62,3119529
10-Apr-13,56.54,58.58,56.54,58.32,5465139
9-Apr-13,56.00,56.54,55.30,56.31,3061859
8-Apr-13,54.76,55.87,54.76,55.59,3464404
5-Apr-13,54.11,55.00,53.82,54.76,3433696
4-Apr-13,53.60,54.90,53.60,54.78,3202381
3-Apr-13,54.33,54.93,53.46,53.65,3536508
2-Apr-13,54.93,55.68,54.10,54.42,3425351
1-Apr-13,55.00,55.52,54.42,54.55,2907432
28-Mar-13,55.00,55.14,54.39,54.96,3112975
27-Mar-13,55.08,55.23,54.61,54.98,2645170
