Date,Open,High,Low,Close,Volume
17-May-13,23.95,24.22,23.90,24.20,1136185
16-May-13,23.92,24.05,23.78,23.90,1796790
15-May-13,23.94,24.03,23.82,23.96,1556162
14-May-13,23.98,24.08,23.93,23.98,1390889
13-May-13,24.19,24.23,23.85,23.96,1212004
10-May-13,24.13,24.30,24.07,24.24,1288665
9-May-13,24.11,24.36,24.02,24.07,1931264
8-May-13,23.91,24.02,23.88,23.99,826618
7-May-13,23.85,23.96,23.80,23.93,1073472
6-May-13,23.85,24.00,23.72,23.82,1260945
3-May-13,23.74,24.03,23.68,23.92,1549894
2-May-13,23.57,23.65,23.29,23.64,961416
1-May-13,23.50,23.77,23.44,23.50,1188841
30-Apr-13,23.54,23.70,23.39,23.62,1244479
29-Apr-13,23.37,23.58,23.30,23.49,976028
26-Apr-13,23.12,23.49,23.12,23.24,1458943
25-Apr-13,23.48,23.66,23.33,23.44,1652776
24-Apr-13,23.63,23.63,22.66,23.49,5610103
23-Apr-13,24.08,24.29,23.89,24.24,1255184
22-Apr-13,23.96,24.04,23.65,24.01,813155
19-Apr-13,23.92,23.98,23.69,23.95,803278
18-Apr-13,24.26,24.30,23.79,23.82,1623213
17-Apr-13,24.48,24.48,24.00,24.23,1299396
16-Apr-13,24.47,24.61,24.28,24.58,1206550
15-Apr-13,24.76,24.86,24.33,24.33,1271611
12-Apr-13,24.84,24.92,24.69,24.90,1263232
11-Apr-13,24.91,25.05,24.84,24.94,1302868
10-Apr-13,24.52,24.90,24.49,24.90,1226108
9-Apr-13,24.25,24.60,24.24,24.48,1835794
8-Apr-13,24.03,24.20,23.99,24.17,919368
5-Apr-13,24.03,24.07,23.92,24.03,1817427
4-Apr-13,24.08,24.24,24.00,24.22,976040
3-Apr-13,24.38,24.42,23.95,24.02,1295393
2-Apr-13,24.57,24.66,24.27,24.32,1488932
1-Apr-13,24.75,24.80,24.33,24.44,967971
28-Mar-13,24.54,24.83,24.43,24.78,1164580
27-Mar-13,24.65,24.68,24.46,24.57,797783
26-Mar-13,24.60,24.78,24.51,24.73,1671744
25-Mar-13,24.43,24.54,24.27,24.50,2111868
22-Mar-13,24.29,24.43,24.20,24.37,1112762
21-Mar-13,23.93,24.25,23.92,24.19,1360366
20-Mar-13,23.95,24.11,23.95,24.10,1069179
19-Mar-13,24.02,24.03,23.75,23.83,818818
18-Mar-13,24.08,24.15,23.95,24.01,1041900
15-Mar-13,24.38,24.43,24.22,24.29,1724349
14-Mar-13,24.43,24.47,24.32,24.45,1190317
13-Mar-13,24.41,24.42,24.25,24.41,2062725
12-Mar-13,24.31,24.43,24.26,24.35,1705935
11-Mar-13,24.22,24.45,24.21,24.39,1101996
8-Mar-13,24.29,24.38,24.15,24.25,1284250
7-Mar-13,24.14,24.30,24.11,24.25,1177892
6-Mar-13,24.14,24.19,23.96,24.17,1658971
5-Mar-13,23.88,24.12,23.88,24.11,1497719
4-Mar-13,23.67,23.82,23.51,23.78,2041980
1-Mar-13,23.65,23.84,23.50,23.80,1422260
28-Feb-13,23.69,23.87,23.52,23.76,2125206
27-Feb-13,23.31,23.79,23.22,23.75,2429012
26-Feb-13,23.24,23.42,22.97,23.36,2494076
25-Feb-13,23.27,23.52,23.06,23.16,3349407
22-Feb-13,23.18,23.26,22.63,22.87,2114076
21-Feb-13,21.87,22.29,21.62,22.27,3322671
20-Feb-13,22.16,22.79,21.53,21.97,7274585
19-Feb-13,23.34,23.48,23.22,23.48,1436411
15-Feb-13,23.04,23.32,23.04,23.27,1583941
14-Feb-13,22.95,23.07,22.86,23.03,1514119
13-Feb-13,23.03,23.09,22.96,23.01,699202
12-Feb-13,22.97,23.13,22.96,23.00,991264
11-Feb-13,23.25,23.25,22.92,23.01,988780
8-Feb-13,23.16,23.27,23.12,23.20,873203
7-Feb-13,23.32,23.34,22.96,23.08,1053210
6-Feb-13,23.24,23.39,23.10,23.36,913160
5-Feb-13,23.22,23.39,23.17,23.31,1072129
4-Feb-13,23.10,23.26,22.97,23.13,1902623
1-Feb-13,23.46,23.47,23.20,23.21,1009739
31-Jan-13,23.00,23.32,22.98,23.25,1636886
30-Jan-13,23.09,23.29,22.93,22.98,1542600
29-Jan-13,23.19,23.22,22.99,23.07,1972600
28-Jan-13,23.74,23.74,23.27,23.27,1371529
25-Jan-13,23.68,23.81,23.61,23.75,1205154
24-Jan-13,23.26,23.74,23.26,23.65,1348613
23-Jan-13,23.69,23.76,23.29,23.33,3839694
22-Jan-13,23.63,23.73,23.50,23.56,2862952
18-Jan-13,23.84,23.91,23.49,23.62,2508526
17-Jan-13,23.84,24.00,23.80,23.87,1476846
16-Jan-13,23.70,23.78,23.67,23.73,1358672
15-Jan-13,23.64,23.78,23.58,23.76,1588957
14-Jan-13,23.59,23.75,23.52,23.75,1719326
11-Jan-13,23.34,23.69,23.31,23.66,1676498
10-Jan-13,23.60,23.66,23.21,23.33,2378542
9-Jan-13,23.02,23.58,23.02,23.55,2711689
8-Jan-13,22.29,22.79,22.25,22.70,1958014
7-Jan-13,22.18,22.39,22.15,22.29,1314126
4-Jan-13,22.38,22.44,22.18,22.27,1871033
3-Jan-13,22.39,23.22,22.33,22.38,2202243
2-Jan-13,21.72,22.31,21.57,22.30,1543851
31-Dec-12,21.17,21.44,21.10,21.42,1857947
28-Dec-12,21.42,21.51,21.23,21.23,1267253
27-Dec-12,21.39,21.60,21.22,21.55,1257410
26-Dec-12,21.65,21.67,21.39,21.42,1217418
24-Dec-12,21.59,21.67,21.49,21.65,518856
21-Dec-12,21.54,21.84,21.49,21.67,2388322
20-Dec-12,21.90,21.92,21.64,21.80,3203721
19-Dec-12,22.21,22.28,21.93,21.93,1731763
18-Dec-12,22.16,22.28,21.89,22.19,1209094
17-Dec-12,22.01,22.16,21.86,22.16,881034
14-Dec-12,22.07,22.18,21.95,21.96,891023
13-Dec-12,22.09,22.19,21.91,22.15,1241341
12-Dec-12,22.34,22.41,22.16,22.20,1319163
11-Dec-12,22.10,22.40,21.98,22.31,1020390
10-Dec-12,22.04,22.16,21.94,21.96,1602520
7-Dec-12,22.24,22.34,22.11,22.18,1666360
6-Dec-12,22.31,22.49,22.22,22.25,1927646
5-Dec-12,22.12,22.45,22.08,22.35,1425487
4-Dec-12,21.91,22.11,21.70,22.07,1891824
3-Dec-12,22.08,22.19,21.75,21.90,841335
30-Nov-12,21.88,22.00,21.66,21.95,1505521
29-Nov-12,21.88,21.96,21.76,21.87,814760
28-Nov-12,21.61,21.83,21.61,21.80,1199531
27-Nov-12,21.72,21.83,21.58,21.72,1221350
26-Nov-12,21.85,21.92,21.73,21.80,1043239
23-Nov-12,21.76,21.98,21.73,21.98,303181
21-Nov-12,21.60,21.76,21.57,21.73,1208484
20-Nov-12,21.65,21.76,21.49,21.62,1379505
19-Nov-12,21.63,21.82,21.55,21.66,1736580
16-Nov-12,21.69,21.78,21.39,21.44,4675064
15-Nov-12,21.61,21.84,21.54,21.61,1792627
14-Nov-12,21.94,21.97,21.59,21.64,1135011
13-Nov-12,22.04,22.14,21.89,21.92,1075443
