Date,Open,High,Low,Close,Volume
17-May-13,36.68,36.83,36.57,36.77,10018603
16-May-13,36.79,36.98,36.58,36.60,10209262
15-May-13,36.57,36.88,36.46,36.81,11921989
14-May-13,36.53,36.80,36.48,36.51,7124841
13-May-13,36.92,37.03,36.54,36.54,9398617
10-May-13,37.23,37.23,36.86,37.04,8742292
9-May-13,37.00,37.36,36.94,37.01,7754567
8-May-13,36.92,37.23,36.91,37.09,6355827
7-May-13,37.11,37.15,36.86,37.04,5820093
6-May-13,37.19,37.25,36.81,37.04,6140180
3-May-13,36.94,37.20,36.87,37.01,11805384
2-May-13,36.58,36.90,36.30,36.70,9582007
1-May-13,36.25,36.80,35.86,36.41,15211928
30-Apr-13,35.95,36.24,35.76,36.21,7430688
29-Apr-13,35.98,36.10,35.68,35.97,5335429
26-Apr-13,35.58,35.89,35.50,35.74,6990777
25-Apr-13,36.16,36.26,35.93,36.11,11218597
24-Apr-13,35.53,36.14,35.33,36.01,12075535
23-Apr-13,35.32,36.23,35.16,35.70,15250639
22-Apr-13,34.31,35.60,34.06,34.81,10722767
19-Apr-13,33.83,34.40,33.56,34.25,10701054
18-Apr-13,34.65,34.81,33.88,33.92,12616969
17-Apr-13,35.00,35.03,34.01,34.21,17043804
16-Apr-13,35.43,35.86,35.16,35.74,9367139
15-Apr-13,35.58,35.88,35.27,35.27,9517367
12-Apr-13,35.67,35.88,35.23,35.85,6753032
11-Apr-13,35.45,35.92,35.37,35.69,10085565
10-Apr-13,35.35,35.77,35.23,35.76,8048108
9-Apr-13,35.11,35.40,34.80,35.16,7745329
8-Apr-13,34.29,35.08,34.26,35.07,8662703
5-Apr-13,34.11,34.23,33.81,34.20,11092029
4-Apr-13,34.26,34.63,34.08,34.49,9406403
3-Apr-13,34.74,34.89,34.00,34.15,13625684
2-Apr-13,34.79,35.02,34.57,34.76,8763213
1-Apr-13,35.26,35.56,34.86,35.01,11066864
28-Mar-13,35.01,35.50,35.00,35.48,8651788
27-Mar-13,34.82,35.12,34.56,35.08,8214580
26-Mar-13,34.74,35.11,34.62,35.10,7249152
25-Mar-13,34.56,34.88,34.31,34.48,7552711
22-Mar-13,34.49,34.72,34.33,34.46,7647334
21-Mar-13,34.78,34.92,34.24,34.29,9540115
20-Mar-13,34.92,35.15,34.81,35.06,7555902
19-Mar-13,34.69,34.91,34.29,34.66,11004683
18-Mar-13,34.21,34.98,34.21,34.62,9094558
15-Mar-13,35.20,35.40,34.85,35.08,14809084
14-Mar-13,35.50,35.73,35.32,35.38,8675966
13-Mar-13,35.20,35.38,35.05,35.29,9363005
12-Mar-13,35.50,35.72,35.32,35.62,10862796
11-Mar-13,35.27,35.59,35.11,35.52,8907490
8-Mar-13,35.30,35.32,34.82,35.29,11512605
7-Mar-13,35.19,35.25,35.06,35.20,8422986
6-Mar-13,35.03,35.26,34.95,35.14,8705919
5-Mar-13,34.68,35.01,34.59,35.00,12979898
4-Mar-13,34.44,34.57,34.11,34.56,7424740
1-Mar-13,34.13,34.57,33.83,34.52,9336814
28-Feb-13,34.37,34.66,34.24,34.43,13412987
27-Feb-13,33.80,34.48,33.71,34.29,7104557
26-Feb-13,33.71,33.98,33.62,33.76,9811749
25-Feb-13,34.20,34.45,33.70,33.73,13942680
22-Feb-13,33.15,34.25,33.15,34.18,20543027
21-Feb-13,32.99,33.00,32.19,32.48,11422231
20-Feb-13,33.98,33.98,33.05,33.06,8968816
19-Feb-13,33.72,34.06,33.43,33.94,6097914
15-Feb-13,33.83,33.86,33.40,33.58,6519025
14-Feb-13,33.49,33.84,33.30,33.79,6394142
13-Feb-13,33.62,33.88,33.54,33.72,5424613
12-Feb-13,33.59,33.70,33.41,33.56,7055415
11-Feb-13,34.18,34.19,33.66,33.69,8274909
8-Feb-13,33.61,34.29,33.56,34.28,13022820
7-Feb-13,33.48,33.55,32.92,33.42,10626838
6-Feb-13,33.60,33.69,33.39,33.56,9102377
5-Feb-13,33.43,33.86,33.21,33.75,8434085
4-Feb-13,33.50,33.69,33.25,33.27,16353334
1-Feb-13,33.18,33.75,33.08,33.72,13854342
31-Jan-13,32.82,33.11,32.66,33.08,13790586
30-Jan-13,32.63,32.97,32.59,32.82,8352608
29-Jan-13,32.61,32.83,32.39,32.67,6182933
28-Jan-13,32.84,33.31,32.81,33.04,7772993
