Date,Open,High,Low,Close,Volume
17-May-13,59.43,60.48,59.13,60.46,2595265
16-May-13,59.61,60.40,59.02,59.05,2765842
15-May-13,59.30,59.79,58.78,59.57,3079365
14-May-13,58.12,59.26,57.66,59.21,2340589
13-May-13,58.31,58.58,57.53,57.91,2157840
10-May-13,57.88,58.48,57.44,58.47,2158720
9-May-13,58.00,58.48,56.74,57.68,4453985
8-May-13,58.55,59.55,58.55,59.01,3768241
7-May-13,57.78,59.28,57.78,58.83,3303101
6-May-13,57.36,58.65,57.17,58.13,2791399
3-May-13,57.30,57.98,56.79,57.15,2997360
2-May-13,55.65,56.79,55.03,56.66,3421104
1-May-13,55.20,55.52,54.50,54.80,3131040
30-Apr-13,54.18,55.29,54.08,55.28,3617756
29-Apr-13,53.18,54.97,52.65,54.12,3477695
26-Apr-13,52.18,54.10,51.79,53.29,3638387
25-Apr-13,55.07,57.96,52.01,52.60,7535227
24-Apr-13,53.59,54.53,52.39,52.90,3677888
23-Apr-13,50.95,53.34,50.76,53.24,3483673
22-Apr-13,50.00,50.79,49.33,50.51,1616205
19-Apr-13,49.04,50.13,48.78,49.93,3180880
18-Apr-13,50.98,51.07,48.88,49.25,3543645
17-Apr-13,51.69,52.21,50.18,50.57,2253885
16-Apr-13,51.68,52.63,51.42,52.03,2287821
15-Apr-13,52.22,53.67,51.08,51.16,2554257
12-Apr-13,52.41,52.94,51.91,52.32,1712566
11-Apr-13,52.37,52.60,51.46,52.39,6565742
10-Apr-13,51.75,53.75,51.68,53.21,3715262
9-Apr-13,50.32,51.89,50.32,51.57,2205650
8-Apr-13,49.75,50.32,49.60,50.23,1667041
5-Apr-13,50.07,50.07,48.97,49.80,2368793
4-Apr-13,50.60,50.96,49.89,50.78,1654023
3-Apr-13,50.25,51.44,50.18,50.60,2920204
2-Apr-13,50.55,50.65,49.04,50.07,2438913
1-Apr-13,50.41,50.90,50.10,50.40,2167820
28-Mar-13,49.99,50.36,49.44,50.29,2586249
27-Mar-13,48.72,50.26,48.57,50.14,3257413
26-Mar-13,47.84,49.97,47.58,48.68,3987134
25-Mar-13,48.20,48.25,46.95,47.53,1953354
22-Mar-13,48.39,48.42,47.32,47.93,2010658
21-Mar-13,49.00,49.05,47.44,48.10,2671582
20-Mar-13,49.48,49.60,48.89,49.33,2173732
19-Mar-13,49.63,49.88,48.37,48.86,2432516
18-Mar-13,49.62,50.22,49.05,49.60,1607514
15-Mar-13,50.50,51.00,49.81,50.16,2743186
14-Mar-13,50.43,50.84,50.19,50.72,1936224
13-Mar-13,50.00,50.85,49.54,50.39,3449153
12-Mar-13,48.15,50.00,47.59,49.99,3903340
11-Mar-13,47.41,48.08,47.17,48.01,1781134
8-Mar-13,47.57,47.82,47.02,47.66,3137990
7-Mar-13,48.75,48.80,46.75,47.27,4092863
6-Mar-13,48.63,49.58,48.59,48.83,3130494
5-Mar-13,48.15,48.59,47.63,48.37,2461062
