Date,Open,High,Low,Close,Volume
17-May-13,39.00,39.32,38.89,39.22,2915956
16-May-13,38.98,39.73,38.70,38.74,3532386
15-May-13,38.19,38.82,38.18,38.74,2991494
14-May-13,37.97,38.35,37.86,38.35,1869727
13-May-13,38.15,38.29,37.89,37.89,1579863
10-May-13,38.63,38.73,38.46,38.56,1266764
9-May-13,38.53,38.75,38.38,38.48,1705504
8-May-13,38.14,38.58,38.07,38.57,1828752
7-May-13,38.00,38.25,37.80,38.14,2601091
6-May-13,38.26,38.48,37.98,38.01,2999327
3-May-13,38.33,38.57,38.04,38.16,2252199
2-May-13,37.73,38.08,37.64,38.02,2121697
1-May-13,37.88,38.16,37.50,37.61,2255368
30-Apr-13,37.65,38.00,37.37,37.91,2859039
29-Apr-13,37.43,37.81,37.30,37.69,2905785
26-Apr-13,37.87,37.87,37.36,37.44,3816316
25-Apr-13,36.90,38.04,36.55,37.79,6062388
24-Apr-13,36.25,36.67,36.22,36.50,3074527
23-Apr-13,36.18,36.60,36.03,36.55,3234118
22-Apr-13,35.62,36.13,35.15,35.91,2189646
19-Apr-13,35.62,35.90,34.98,35.51,2881480
18-Apr-13,36.16,36.27,35.49,35.60,2220662
17-Apr-13,36.66,36.66,35.38,35.88,3961782
16-Apr-13,36.76,37.14,36.60,37.08,2372098
15-Apr-13,37.02,37.28,36.51,36.58,3103422
12-Apr-13,37.36,37.40,36.63,37.08,3072581
11-Apr-13,37.64,37.90,37.31,37.41,2241000
10-Apr-13,36.84,37.89,36.80,37.76,3201323
9-Apr-13,36.76,37.01,36.42,36.76,1509549
8-Apr-13,36.47,36.78,36.15,36.74,2474401
5-Apr-13,36.13,36.42,35.51,36.36,4503552
4-Apr-13,36.20,36.92,36.14,36.81,3907906
3-Apr-13,37.29,37.43,36.02,36.21,4443661
2-Apr-13,37.74,37.82,37.05,37.28,2838246
1-Apr-13,38.47,38.47,37.60,37.65,1751415
28-Mar-13,37.93,38.20,37.81,38.17,2630646
27-Mar-13,37.89,38.15,37.58,37.95,2249382
26-Mar-13,38.09,38.38,37.97,38.20,1619429
25-Mar-13,38.12,38.12,37.55,37.90,1738483
22-Mar-13,38.04,38.21,37.85,37.97,1499568
21-Mar-13,37.92,38.24,37.66,37.85,1804235
20-Mar-13,38.13,38.36,37.94,38.24,2024074
19-Mar-13,38.10,38.50,37.52,37.82,4855633
18-Mar-13,37.99,38.21,37.63,37.76,2159468
15-Mar-13,38.77,38.92,38.08,38.45,4167877
14-Mar-13,38.85,39.24,38.74,38.85,3905137
13-Mar-13,38.43,38.66,38.29,38.52,2881062
12-Mar-13,38.22,38.54,37.94,38.51,2704004
11-Mar-13,38.20,38.46,38.03,38.33,2576801
8-Mar-13,38.33,38.53,37.92,38.37,3864559
7-Mar-13,37.57,38.30,37.50,38.24,4843114
6-Mar-13,37.42,37.83,37.34,37.46,4905884
5-Mar-13,36.72,37.33,36.67,37.19,3900286
4-Mar-13,36.75,36.75,36.37,36.39,3582271
1-Mar-13,37.02,37.03,36.40,36.65,3905809
28-Feb-13,37.41,37.74,37.20,37.27,3151541
27-Feb-13,36.73,37.56,36.58,37.39,3296129
26-Feb-13,37.22,37.27,36.45,36.67,8315426
25-Feb-13,38.31,38.42,37.30,37.30,2103485
22-Feb-13,37.82,38.12,37.63,37.96,2764721
21-Feb-13,38.15,38.22,37.48,37.65,3085135
20-Feb-13,39.16,39.18,38.29,38.29,3377862
19-Feb-13,38.66,39.43,38.31,39.14,4673075
15-Feb-13,38.54,38.54,37.87,38.12,2445781
14-Feb-13,37.61,38.62,37.42,38.44,4376224
13-Feb-13,37.63,38.00,37.48,37.80,2908631
12-Feb-13,37.35,37.71,37.22,37.58,1859525
11-Feb-13,37.46,37.58,37.26,37.46,2004285
8-Feb-13,37.00,37.63,36.97,37.51,3721016
7-Feb-13,36.89,37.06,36.65,36.86,3048428
6-Feb-13,36.69,37.02,36.58,37.00,2863409
5-Feb-13,36.60,37.05,36.49,36.92,2387538
4-Feb-13,36.76,36.95,36.44,36.45,2455560
1-Feb-13,36.59,37.20,36.52,37.16,3173389
31-Jan-13,36.68,36.84,36.43,36.49,1974071
30-Jan-13,36.56,36.89,36.56,36.66,2446748
29-Jan-13,36.72,36.84,36.44,36.65,1628509
28-Jan-13,36.72,37.00,36.69,36.72,2215416
25-Jan-13,36.88,37.24,36.68,36.85,3174226
24-Jan-13,36.44,37.06,36.34,36.80,3414105
23-Jan-13,36.80,36.95,36.57,36.70,1719359
22-Jan-13,37.08,37.10,36.61,36.74,2933659
18-Jan-13,36.31,37.63,36.26,37.17,6583179
17-Jan-13,36.56,36.84,36.31,36.44,4161538
16-Jan-13,35.56,36.24,35.56,36.20,3636164
15-Jan-13,35.71,35.82,35.38,35.72,3556536
14-Jan-13,36.46,36.46,35.58,35.84,5139606
11-Jan-13,36.00,36.06,35.67,35.80,2639181
10-Jan-13,35.94,36.25,35.84,36.00,2402843
9-Jan-13,35.72,35.92,35.33,35.89,3434303
8-Jan-13,36.25,36.36,35.57,35.61,3877816
7-Jan-13,36.25,36.57,36.20,36.35,1938359
4-Jan-13,36.95,37.08,36.44,36.50,2502258
3-Jan-13,37.13,37.39,36.89,37.02,2559939
2-Jan-13,36.40,37.09,36.40,37.09,3440730
31-Dec-12,35.29,35.97,35.27,35.86,2227429
28-Dec-12,35.53,35.82,35.29,35.31,1683609
27-Dec-12,35.85,35.92,35.33,35.78,1832245
26-Dec-12,36.03,36.33,35.75,35.83,1105297
24-Dec-12,36.00,36.08,35.80,35.96,612403
21-Dec-12,35.94,36.24,35.55,36.10,3960946
20-Dec-12,36.07,36.44,35.79,36.30,2046111
19-Dec-12,36.01,36.41,36.01,36.05,2745258
18-Dec-12,35.65,36.29,35.58,35.97,2840336
17-Dec-12,35.43,35.60,35.17,35.48,2738082
14-Dec-12,35.27,35.69,35.09,35.37,2012529
13-Dec-12,35.60,36.06,35.27,35.32,2391719
12-Dec-12,35.78,35.98,35.59,35.69,1808783
11-Dec-12,35.22,35.71,35.09,35.67,2520674
10-Dec-12,34.89,35.36,34.82,35.08,2105062
7-Dec-12,34.55,34.88,34.37,34.86,1746129
6-Dec-12,34.34,34.73,34.30,34.47,1471609
5-Dec-12,34.23,34.48,34.01,34.40,2276756
4-Dec-12,34.39,34.55,34.12,34.34,1706905
3-Dec-12,34.83,34.89,34.27,34.36,1416036
30-Nov-12,34.32,34.75,34.19,34.65,2700293
29-Nov-12,34.59,34.78,34.20,34.26,3562393
28-Nov-12,33.95,34.55,33.40,34.53,1851716
27-Nov-12,34.14,34.45,33.97,34.09,1670024
26-Nov-12,34.14,34.46,34.05,34.28,1765785
23-Nov-12,33.93,34.30,33.82,34.19,726662
21-Nov-12,33.52,33.81,33.50,33.70,1780057
20-Nov-12,33.42,33.70,33.21,33.63,2070687
19-Nov-12,32.86,33.50,32.82,33.50,2289009
16-Nov-12,32.76,32.88,32.13,32.56,4435102
15-Nov-12,33.64,33.77,32.88,32.89,3279108
14-Nov-12,33.77,34.29,33.56,33.68,4569267
13-Nov-12,33.28,33.62,33.12,33.18,3705014
12-Nov-12,33.62,33.81,33.30,33.53,1304268
9-Nov-12,33.56,33.86,33.43,33.59,2049164
8-Nov-12,33.81,34.45,33.62,33.64,4411001
7-Nov-12,33.69,34.48,33.38,33.93,4654923
