Gross Margin % 2009,40.1
Gross Margin % 2010,43.8
Gross Margin % YoY % change,9.227
Operating Margin % 2009,-4.0
Operating Margin % 2010,3.6
Operating Margin % YoY % change,-190.000
Earnings Per Share USD 2009,-0.28
Earnings Per Share USD 2010,0.31
Earnings Per Share USD YoY % change,-210.714
Book Value Per Share USD 2009,4.21
Book Value Per Share USD 2010,4.69
Book Value Per Share USD YoY % change,11.401
SG&A 2009,28.07
SG&A 2010,24.22
SG&A YoY % change,-13.716
R&D 2009,12.82
R&D 2010,13.29
R&D YoY % change,3.666
Return on Assets % 2009,-3.66
Return on Assets % 2010,3.92
Return on Assets % YoY % change,-207.104
Return on Equity % 2009,-6.99
Return on Equity % 2010,7.25
Return on Equity % YoY % change,-203.720
Return on Invested Capital % 2009,-7.20
Return on Invested Capital % 2010,4.36
Return on Invested Capital % YoY % change,-160.556
Cap Ex as a % of Sales 2009,3.04
Cap Ex as a % of Sales 2010,6.47
Cap Ex as a % of Sales YoY % change,112.829
Total Current Assets 2009,63.08
Total Current Assets 2010,66.85
Total Current Assets YoY % change,5.977
Total Current Liabilities 2009,20.60
Total Current Liabilities 2010,21.46
Total Current Liabilities YoY % change,4.175
Current Ratio 2009,3.06
Current Ratio 2010,3.12
Current Ratio YoY % change,1.961
Quick Ratio 2009,2.40
Quick Ratio 2010,2.45
Quick Ratio YoY % change,2.083
