Gross Margin % 2009,28.1
Gross Margin % 2010,19.6
Gross Margin % YoY % change,-30.249
Operating Margin % 2009,15.3
Operating Margin % 2010,7.3
Operating Margin % YoY % change,-52.288
Earnings Per Share USD 2009,3.14
Earnings Per Share USD 2010,1.09
Earnings Per Share USD YoY % change,-65.287
Book Value Per Share USD 2009,5.59
Book Value Per Share USD 2010,5.73
Book Value Per Share USD YoY % change,2.504
SG&A 2009,3.84
SG&A 2010,4.06
SG&A YoY % change,5.729
R&D 2009,7.70
R&D 2010,7.98
R&D YoY % change,3.636
Return on Assets % 2009,20.99
Return on Assets % 2010,5.85
Return on Assets % YoY % change,-72.130
Return on Equity % 2009,75.75
Return on Equity % 2010,19.70
Return on Equity % YoY % change,-73.993
Return on Invested Capital % 2009,30.38
Return on Invested Capital % 2010,5.75
Return on Invested Capital % YoY % change,-81.073
Cap Ex as a % of Sales 2009,5.61
Cap Ex as a % of Sales 2010,7.68
Cap Ex as a % of Sales YoY % change,36.898
Total Current Assets 2009,65.70
Total Current Assets 2010,69.65
Total Current Assets YoY % change,6.012
Total Current Liabilities 2009,36.34
Total Current Liabilities 2010,37.54
Total Current Liabilities YoY % change,3.302
Current Ratio 2009,1.81
Current Ratio 2010,1.86
Current Ratio YoY % change,2.762
Quick Ratio 2009,1.31
Quick Ratio 2010,1.34
Quick Ratio YoY % change,2.290
