Gross Margin % 2009,24.4
Gross Margin % 2010,18.8
Gross Margin % YoY % change,-22.951
Operating Margin % 2009,15.5
Operating Margin % 2010,8.2
Operating Margin % YoY % change,-47.097
Earnings Per Share USD 2009,5.93
Earnings Per Share USD 2010,3.09
Earnings Per Share USD YoY % change,-47.892
Book Value Per Share USD 2009,20.55
Book Value Per Share USD 2010,23.61
Book Value Per Share USD YoY % change,14.891
SG&A 2009,2.69
SG&A 2010,3.22
SG&A YoY % change,19.703
R&D 2009,6.20
R&D 2010,7.38
R&D YoY % change,19.032
Return on Assets % 2009,21.90
Return on Assets % 2010,9.40
Return on Assets % YoY % change,-57.078
Return on Equity % 2009,34.98
Return on Equity % 2010,14.24
Return on Equity % YoY % change,-59.291
Return on Invested Capital % 2009,31.28
Return on Invested Capital % 2010,13.16
Return on Invested Capital % YoY % change,-57.928
Cap Ex as a % of Sales 2009,7.48
Cap Ex as a % of Sales 2010,8.17
Cap Ex as a % of Sales YoY % change,9.225
Total Current Assets 2009,64.41
Total Current Assets 2010,67.59
Total Current Assets YoY % change,4.937
Total Current Liabilities 2009,27.61
Total Current Liabilities 2010,26.73
Total Current Liabilities YoY % change,-3.187
Current Ratio 2009,2.33
Current Ratio 2010,2.53
Current Ratio YoY % change,8.584
Quick Ratio 2009,1.97
Quick Ratio 2010,2.16
Quick Ratio YoY % change,9.645
