Gross Margin % 2009,45.6
Gross Margin % 2010,44.8
Gross Margin % YoY % change,-1.754
Operating Margin % 2009,13.1
Operating Margin % 2010,5.6
Operating Margin % YoY % change,-57.252
Earnings Per Share USD 2009,0.64
Earnings Per Share USD 2010,0.66
Earnings Per Share USD YoY % change,3.125
Book Value Per Share USD 2009,1.48
Book Value Per Share USD 2010,2.28
Book Value Per Share USD YoY % change,54.054
SG&A 2009,14.38
SG&A 2010,15.10
SG&A YoY % change,5.007
R&D 2009,21.64
R&D 2010,22.12
R&D YoY % change,2.218
Return on Assets % 2009,6.71
Return on Assets % 2010,9.90
Return on Assets % YoY % change,47.541
Return on Equity % 2009,56.71
Return on Equity % 2010,37.73
Return on Equity % YoY % change,-33.469
Return on Invested Capital % 2009,6.48
Return on Invested Capital % 2010,10.63
Return on Invested Capital % YoY % change,64.043
Cap Ex as a % of Sales 2009,2.28
Cap Ex as a % of Sales 2010,3.81
Cap Ex as a % of Sales YoY % change,67.105
Total Current Assets 2009,72.40
Total Current Assets 2010,65.18
Total Current Assets YoY % change,-9.972
Total Current Liabilities 2009,33.72
Total Current Liabilities 2010,35.81
Total Current Liabilities YoY % change,6.198
Current Ratio 2009,2.15
Current Ratio 2010,1.82
Current Ratio YoY % change,-15.349
Quick Ratio 2009,1.65
Quick Ratio 2010,1.51
Quick Ratio YoY % change,-8.485
