Gross Margin % 2009,80.5
Gross Margin % 2010,78.4
Gross Margin % YoY % change,-2.609
Operating Margin % 2009,5.9
Operating Margin % 2010,-1.5
Operating Margin % YoY % change,-125.424
Earnings Per Share USD 2009,0.12
Earnings Per Share USD 2010,-0.02
Earnings Per Share USD YoY % change,-116.667
Book Value Per Share USD 2009,2.40
Book Value Per Share USD 2010,2.90
Book Value Per Share USD YoY % change,20.833
SG&A 2009,63.24
SG&A 2010,66.95
SG&A YoY % change,5.867
R&D 2009,11.34
R&D 2010,13.03
R&D YoY % change,14.903
Return on Assets % 2009,2.32
Return on Assets % 2010,-0.32
Return on Assets % YoY % change,-113.793
Return on Equity % 2009,5.56
Return on Equity % 2010,-0.81
Return on Equity % YoY % change,-114.568
Return on Invested Capital % 2009,2.91
Return on Invested Capital % 2010,-1.03
Return on Invested Capital % YoY % change,-135.395
Cap Ex as a % of Sales 2009,22.26
Cap Ex as a % of Sales 2010,7.56
Cap Ex as a % of Sales YoY % change,-66.038
Total Current Assets 2009,34.77
Total Current Assets 2010,40.16
Total Current Assets YoY % change,15.502
Total Current Liabilities 2009,41.29
Total Current Liabilities 2010,55.80
Total Current Liabilities YoY % change,35.142
Current Ratio 2009,0.84
Current Ratio 2010,0.72
Current Ratio YoY % change,-14.286
Quick Ratio 2009,0.72
Quick Ratio 2010,0.63
Quick Ratio YoY % change,-12.500
