Gross Margin % 2009,42.3
Gross Margin % 2010,41.4
Gross Margin % YoY % change,-2.128
Operating Margin % 2009,24.4
Operating Margin % 2010,23.0
Operating Margin % YoY % change,-5.738
Earnings Per Share USD 2009,3.27
Earnings Per Share USD 2010,3.28
Earnings Per Share USD YoY % change,0.306
Book Value Per Share USD 2009,21.98
Book Value Per Share USD 2010,23.13
Book Value Per Share USD YoY % change,5.232
SG&A 2009,17.90
SG&A 2010,18.42
SG&A YoY % change,2.905
Return on Assets % 2009,5.95
Return on Assets % 2010,5.61
Return on Assets % YoY % change,-5.714
Return on Equity % 2009,15.86
Return on Equity % 2010,14.55
Return on Equity % YoY % change,-8.260
Return on Invested Capital % 2009,5.63
Return on Invested Capital % 2010,5.29
Return on Invested Capital % YoY % change,-6.039
Cap Ex as a % of Sales 2009,4.23
Cap Ex as a % of Sales 2010,4.43
Cap Ex as a % of Sales YoY % change,4.728
Total Current Assets 2009,17.11
Total Current Assets 2010,15.86
Total Current Assets YoY % change,-7.306
Total Current Liabilities 2009,10.76
Total Current Liabilities 2010,16.19
Total Current Liabilities YoY % change,50.465
Current Ratio 2009,1.59
Current Ratio 2010,0.98
Current Ratio YoY % change,-38.365
Quick Ratio 2009,1.27
Quick Ratio 2010,0.72
Quick Ratio YoY % change,-43.307
