Gross Margin % 2009,82.5
Gross Margin % 2010,83.0
Gross Margin % YoY % change,0.606
Operating Margin % 2009,25.0
Operating Margin % 2010,26.1
Operating Margin % YoY % change,4.400
Earnings Per Share USD 2009,1.77
Earnings Per Share USD 2010,2.00
Earnings Per Share USD YoY % change,12.994
Book Value Per Share USD 2009,8.98
Book Value Per Share USD 2010,8.61
Book Value Per Share USD YoY % change,-4.120
SG&A 2009,38.32
SG&A 2010,38.04
SG&A YoY % change,-0.731
R&D 2009,16.58
R&D 2010,16.46
R&D YoY % change,-0.724
Return on Assets % 2009,11.45
Return on Assets % 2010,12.30
Return on Assets % YoY % change,7.424
Return on Equity % 2009,21.35
Return on Equity % 2010,23.32
Return on Equity % YoY % change,9.227
Return on Invested Capital % 2009,14.12
Return on Invested Capital % 2010,14.64
Return on Invested Capital % YoY % change,3.683
Cap Ex as a % of Sales 2009,4.14
Cap Ex as a % of Sales 2010,5.92
Cap Ex as a % of Sales YoY % change,42.995
Total Current Assets 2009,44.15
Total Current Assets 2010,44.11
Total Current Assets YoY % change,-0.091
Total Current Liabilities 2009,23.49
Total Current Liabilities 2010,35.32
Total Current Liabilities YoY % change,50.362
Current Ratio 2009,1.88
Current Ratio 2010,1.25
Current Ratio YoY % change,-33.511
Quick Ratio 2009,1.74
Quick Ratio 2010,0.92
Quick Ratio YoY % change,-47.126
