Gross Margin % 2009,43.1
Gross Margin % 2010,47.1
Gross Margin % YoY % change,9.281
Operating Margin % 2009,1.4
Operating Margin % 2010,3.3
Operating Margin % YoY % change,135.714
Earnings Per Share USD 2009,0.06
Earnings Per Share USD 2010,0.55
Earnings Per Share USD YoY % change,816.667
Book Value Per Share USD 2009,2.14
Book Value Per Share USD 2010,1.88
Book Value Per Share USD YoY % change,-12.150
SG&A 2009,13.35
SG&A 2010,14.45
SG&A YoY % change,8.240
R&D 2009,26.06
R&D 2010,28.18
R&D YoY % change,8.135
Return on Assets % 2009,1.48
Return on Assets % 2010,14.24
Return on Assets % YoY % change,862.162
Return on Equity % 2009,2.88
Return on Equity % 2010,27.90
Return on Equity % YoY % change,868.750
Return on Invested Capital % 2009,2.24
Return on Invested Capital % 2010,27.90
Return on Invested Capital % YoY % change,1145.536
Cap Ex as a % of Sales 2009,3.59
Cap Ex as a % of Sales 2010,2.98
Cap Ex as a % of Sales YoY % change,-16.992
Total Current Assets 2009,52.12
Total Current Assets 2010,63.74
Total Current Assets YoY % change,22.295
Total Current Liabilities 2009,19.99
Total Current Liabilities 2010,20.65
Total Current Liabilities YoY % change,3.302
Current Ratio 2009,2.61
Current Ratio 2010,3.09
Current Ratio YoY % change,18.391
Quick Ratio 2009,2.07
Quick Ratio 2010,2.56
Quick Ratio YoY % change,23.671
