Gross Margin % 2009,56.4
Gross Margin % 2010,58.8
Gross Margin % YoY % change,4.255
Operating Margin % 2009,25.8
Operating Margin % 2010,31.9
Operating Margin % YoY % change,23.643
Earnings Per Share USD 2009,1.16
Earnings Per Share USD 2010,2.15
Earnings Per Share USD YoY % change,85.345
Book Value Per Share USD 2009,8.27
Book Value Per Share USD 2010,9.56
Book Value Per Share USD YoY % change,15.599
SG&A 2009,17.64
SG&A 2010,15.32
SG&A YoY % change,-13.152
R&D 2009,12.75
R&D 2010,11.47
R&D YoY % change,-10.039
Return on Assets % 2009,8.79
Return on Assets % 2010,15.28
Return on Assets % YoY % change,73.834
Return on Equity % 2009,17.19
Return on Equity % 2010,25.04
Return on Equity % YoY % change,45.666
Return on Invested Capital % 2009,9.24
Return on Invested Capital % 2010,19.32
Return on Invested Capital % YoY % change,109.091
Cap Ex as a % of Sales 2009,5.02
Cap Ex as a % of Sales 2010,8.37
Cap Ex as a % of Sales YoY % change,66.733
Total Current Assets 2009,64.02
Total Current Assets 2010,59.80
Total Current Assets YoY % change,-6.592
Total Current Liabilities 2009,8.08
Total Current Liabilities 2010,11.47
Total Current Liabilities YoY % change,41.955
Current Ratio 2009,7.92
Current Ratio 2010,5.22
Current Ratio YoY % change,-34.091
Quick Ratio 2009,6.65
Quick Ratio 2010,4.19
Quick Ratio YoY % change,-36.992
