Gross Margin % 2009,78.5
Gross Margin % 2010,76.4
Gross Margin % YoY % change,-2.675
Operating Margin % 2009,33.8
Operating Margin % 2010,33.8
Operating Margin % YoY % change,0.000
Earnings Per Share USD 2009,1.21
Earnings Per Share USD 2010,1.67
Earnings Per Share USD YoY % change,38.017
Book Value Per Share USD 2009,5.67
Book Value Per Share USD 2010,7.85
Book Value Per Share USD YoY % change,38.448
SG&A 2009,22.34
SG&A 2010,21.19
SG&A YoY % change,-5.148
R&D 2009,12.13
R&D 2010,12.69
R&D YoY % change,4.617
Return on Assets % 2009,11.26
Return on Assets % 2010,12.65
Return on Assets % YoY % change,12.345
Return on Equity % 2009,21.95
Return on Equity % 2010,24.22
Return on Equity % YoY % change,10.342
Return on Invested Capital % 2009,13.80
Return on Invested Capital % 2010,15.70
Return on Invested Capital % YoY % change,13.768
Cap Ex as a % of Sales 2009,0.86
Cap Ex as a % of Sales 2010,1.26
Cap Ex as a % of Sales YoY % change,46.512
Total Current Assets 2009,43.85
Total Current Assets 2010,53.27
Total Current Assets YoY % change,21.482
Total Current Liabilities 2009,23.86
Total Current Liabilities 2010,19.30
Total Current Liabilities YoY % change,-19.111
Current Ratio 2009,1.84
Current Ratio 2010,2.76
Current Ratio YoY % change,50.000
Quick Ratio 2009,1.64
Quick Ratio 2010,2.50
Quick Ratio YoY % change,52.439
